OMIM_ICD_ID	ICD_Codes	ICD_Strings	OMIM_IDs	HPO_Anno
OMIM_ICD:37	frozenset({'E71121'})	{'Propionic acidemia'}	{'OMIM:606054'}	{'HP:0002059', 'HP:0001903', 'HP:0001263', 'HP:0001987', 'HP:0003353', 'HP:0002019', 'HP:0008936', 'HP:0001254', 'HP:0003128', 'HP:0000964', 'HP:0001508', 'HP:0001876', 'HP:0000939', 'HP:0002240', 'HP:0025356', 'HP:0001250', 'HP:0002013', 'HP:0001875', 'HP:0001332', 'HP:0004322', 'HP:0008872', 'HP:0003108', 'HP:0001944', 'HP:0001638', 'HP:0001733', 'HP:0001942', 'HP:0002789', 'HP:0002509', 'HP:0006846', 'HP:0004396', 'HP:0001259', 'HP:0002104', 'HP:0001873', 'HP:0000007', 'HP:0011695', 'HP:0001943', 'HP:0410066', 'HP:0002154'}
OMIM_ICD:38	frozenset({'E71310'})	{'Long chain/very long chain acyl CoA dehydrogenase deficiency'}	{'OMIM:201475'}	{'HP:0001639', 'HP:0001324', 'HP:0009045', 'HP:0001958', 'HP:0003215', 'HP:0001254', 'HP:0003234', 'HP:0002789', 'HP:0001397', 'HP:0001290', 'HP:0001404', 'HP:0008305', 'HP:0003236', 'HP:0001252', 'HP:0002240', 'HP:0002013', 'HP:0000007', 'HP:0003738', 'HP:0003552', 'HP:0001645'}
OMIM_ICD:39	frozenset({'E71311'})	{'Medium chain acyl CoA dehydrogenase deficiency'}	{'OMIM:201450'}	{'HP:0001263', 'HP:0003108', 'HP:0002910', 'HP:0001254', 'HP:0003234', 'HP:0002181', 'HP:0001942', 'HP:0001397', 'HP:0001290', 'HP:0001252', 'HP:0001259', 'HP:0002240', 'HP:0001250', 'HP:0002013', 'HP:0000007', 'HP:0008309', 'HP:0001943'}
OMIM_ICD:40	frozenset({'E71312'})	{'Short chain acyl CoA dehydrogenase deficiency'}	{'OMIM:201470'}	{'HP:0008872', 'HP:0001263', 'HP:0000750', 'HP:0000590', 'HP:0001371', 'HP:0001254', 'HP:0003198', 'HP:0001638', 'HP:0002650', 'HP:0010628', 'HP:0000709', 'HP:0001290', 'HP:0001508', 'HP:0001252', 'HP:0001250', 'HP:0002500', 'HP:0004911', 'HP:0003623', 'HP:0000007', 'HP:0003219'}
OMIM_ICD:41	frozenset({'E71313'})	{'Glutaric aciduria type II'}	{'OMIM:231680'}	{'HP:0003076', 'HP:0001324', 'HP:0000260', 'HP:0003530', 'HP:0002089', 'HP:0000348', 'HP:0000377', 'HP:0002909', 'HP:0000114', 'HP:0001252', 'HP:0000803', 'HP:0002240', 'HP:0000078', 'HP:0000952', 'HP:0001999', 'HP:0002013', 'HP:0005280', 'HP:0003219', 'HP:0003811', 'HP:0002614', 'HP:0000519', 'HP:0003150', 'HP:0000113', 'HP:0000256', 'HP:0003647', 'HP:0002171', 'HP:0002018', 'HP:0002098', 'HP:0001397', 'HP:0000506', 'HP:0001302', 'HP:0000007', 'HP:0001325', 'HP:0001943'}
OMIM_ICD:42	frozenset({'E71314'})	{'Muscle carnitine palmitoyltransferase deficiency'}	{'OMIM:255120', 'OMIM:600649', 'OMIM:255110'}	{'HP:0008279', 'HP:0008872', 'HP:0001324', 'HP:0003201', 'HP:0003394', 'HP:0001987', 'HP:0002910', 'HP:0001985', 'HP:0001254', 'HP:0002913', 'HP:0002686', 'HP:0001640', 'HP:0011675', 'HP:0001397', 'HP:0001290', 'HP:0001947', 'HP:0007335', 'HP:0001403', 'HP:0005943', 'HP:0003236', 'HP:0001252', 'HP:0001259', 'HP:0002014', 'HP:0002240', 'HP:0003593', 'HP:0001250', 'HP:0002013', 'HP:0000006', 'HP:0000083', 'HP:0000007', 'HP:0003552', 'HP:0001644', 'HP:0003326'}
OMIM_ICD:43	frozenset({'E7141'})	{'Primary carnitine deficiency'}	{'OMIM:212140'}	{'HP:0001639', 'HP:0001324', 'HP:0001987', 'HP:0002910', 'HP:0001254', 'HP:0001289', 'HP:0003198', 'HP:0003234', 'HP:0001298', 'HP:0001640', 'HP:0001988', 'HP:0001397', 'HP:0001290', 'HP:0001508', 'HP:0001635', 'HP:0001262', 'HP:0001252', 'HP:0001259', 'HP:0002240', 'HP:0045061', 'HP:0002013', 'HP:0030362', 'HP:0000007', 'HP:0001706', 'HP:0005959', 'HP:0001943'}
OMIM_ICD:44	frozenset({'E71440'})	{'Ruvalcaba-Myhre-Smith syndrome'}	{'OMIM:158350'}	{'HP:0100646', 'HP:0002808', 'HP:0001263', 'HP:0001031', 'HP:0012871', 'HP:0500009', 'HP:0003581', 'HP:0002650', 'HP:0000327', 'HP:0001256', 'HP:0004390', 'HP:0001888', 'HP:0000972', 'HP:0006740', 'HP:0000160', 'HP:0000545', 'HP:0010619', 'HP:0000854', 'HP:0000006', 'HP:0001250', 'HP:0010609', 'HP:0000218', 'HP:0000518', 'HP:0000365', 'HP:0004481', 'HP:0000034', 'HP:0030731', 'HP:0025318', 'HP:0000221', 'HP:0000821', 'HP:0003002', 'HP:0002253', 'HP:0002597', 'HP:0002858', 'HP:0007206', 'HP:0000771', 'HP:0000347', 'HP:0001102', 'HP:0000767', 'HP:0000836', 'HP:0200016', 'HP:0002080', 'HP:0002719', 'HP:0004313', 'HP:0000138', 'HP:0000853'}
OMIM_ICD:45	frozenset({'E71510'})	{'Zellweger syndrome'}	{'OMIM:614862', 'OMIM:614887', 'OMIM:614872', 'OMIM:614883', 'OMIM:614870', 'OMIM:214110', 'OMIM:214100', 'OMIM:614886', 'OMIM:614882', 'OMIM:614866', 'OMIM:614859', 'OMIM:614876'}	{'HP:0001623', 'HP:0002910', 'HP:0000028', 'HP:0000124', 'HP:0000348', 'HP:0003455', 'HP:0001399', 'HP:0012368', 'HP:0009473', 'HP:0000316', 'HP:0000343', 'HP:0004734', 'HP:0100729', 'HP:0002126', 'HP:0005280', 'HP:0001522', 'HP:0000952', 'HP:0000835', 'HP:0010864', 'HP:0000463', 'HP:0000778', 'HP:0000107', 'HP:0001081', 'HP:0001339', 'HP:0011039', 'HP:0007227', 'HP:0030799', 'HP:0001088', 'HP:0001591', 'HP:0000238', 'HP:0002104', 'HP:0001302', 'HP:0003678', 'HP:0000262', 'HP:0002059', 'HP:0007759', 'HP:0001263', 'HP:0000260', 'HP:0000431', 'HP:0000272', 'HP:0000478', 'HP:0002750', 'HP:0001093', 'HP:0002240', 'HP:0001840', 'HP:0001511', 'HP:0003355', 'HP:0000518', 'HP:0001631', 'HP:0002617', 'HP:0006894', 'HP:0001558', 'HP:0011344', 'HP:0001629', 'HP:0000256', 'HP:0001719', 'HP:0001433', 'HP:0001762', 'HP:0000244', 'HP:0001838', 'HP:0001510', 'HP:0008665', 'HP:0000267', 'HP:0002033', 'HP:0000448', 'HP:0003103', 'HP:0012592', 'HP:0000954', 'HP:0000639', 'HP:0010655', 'HP:0010808', 'HP:0000580', 'HP:0000162', 'HP:0011398', 'HP:0005562', 'HP:0001284', 'HP:0002089', 'HP:0001193', 'HP:0004325', 'HP:0001476', 'HP:0008947', 'HP:0000325', 'HP:0000175', 'HP:0003429', 'HP:0001290', 'HP:0001252', 'HP:0000501', 'HP:0100540', 'HP:0030048', 'HP:0000158', 'HP:0000047', 'HP:0004322', 'HP:0000113', 'HP:0001401', 'HP:0002282', 'HP:0009487', 'HP:0002764', 'HP:0006887', 'HP:0000126', 'HP:0002269', 'HP:0002878', 'HP:0007305', 'HP:0008935', 'HP:0012385', 'HP:0001643', 'HP:0005469', 'HP:0012103', 'HP:0000407', 'HP:0007370', 'HP:0030680', 'HP:0001425', 'HP:0000239', 'HP:0004492', 'HP:0001627', 'HP:0001265', 'HP:0000311', 'HP:0006579', 'HP:0003819', 'HP:0011968', 'HP:0000512', 'HP:0002416', 'HP:0001508', 'HP:0000543', 'HP:0001744', 'HP:0001250', 'HP:0000218', 'HP:0002705', 'HP:0000252', 'HP:0000494', 'HP:0002904', 'HP:0000337', 'HP:0008872', 'HP:0005989', 'HP:0000582', 'HP:0002967', 'HP:0001249', 'HP:0006829', 'HP:0000369', 'HP:0000629', 'HP:0010461', 'HP:0000537', 'HP:0000347', 'HP:0001410', 'HP:0000286', 'HP:0000422', 'HP:0000358', 'HP:0031956', 'HP:0009553', 'HP:0000007', 'HP:0000268'}
OMIM_ICD:46	frozenset({'E71521', 'E71520'})	{'Childhood cerebral X-linked adrenoleukodystrophy', 'Adolescent X-linked adrenoleukodystrophy'}	{'OMIM:300100'}	{'HP:0000802', 'HP:0008207', 'HP:0001283', 'HP:0001596', 'HP:0002385', 'HP:0002311', 'HP:0002371', 'HP:0001350', 'HP:0001271', 'HP:0002607', 'HP:0000618', 'HP:0000953', 'HP:0003455', 'HP:0002839', 'HP:0000709', 'HP:0001258', 'HP:0000726', 'HP:0000572', 'HP:0003676', 'HP:0000135', 'HP:0007340', 'HP:0002070', 'HP:0002078', 'HP:0000020', 'HP:0002180', 'HP:0001250', 'HP:0001419', 'HP:0002500', 'HP:0006938', 'HP:0007018', 'HP:0000365'}
OMIM_ICD:47	frozenset({'E71540'})	{'Rhizomelic chondrodysplasia punctata'}	{'OMIM:616716', 'OMIM:600121', 'OMIM:215100', 'OMIM:222765'}	{'HP:0001324', 'HP:0002832', 'HP:0003510', 'HP:0001263', 'HP:0003025', 'HP:0002644', 'HP:0001596', 'HP:0000239', 'HP:0000431', 'HP:0001371', 'HP:0002093', 'HP:0005792', 'HP:0001265', 'HP:0001257', 'HP:0000348', 'HP:0004325', 'HP:0000272', 'HP:0000938', 'HP:0003097', 'HP:0002650', 'HP:0002812', 'HP:0012368', 'HP:0003301', 'HP:0001939', 'HP:0003021', 'HP:0000175', 'HP:0002007', 'HP:0001290', 'HP:0001508', 'HP:0008064', 'HP:0001252', 'HP:0005280', 'HP:0001250', 'HP:0002188', 'HP:0005841', 'HP:0000218', 'HP:0000252', 'HP:0002136', 'HP:0008838', 'HP:0010864', 'HP:0000518', 'HP:0000519', 'HP:0003015', 'HP:0000463', 'HP:0004322', 'HP:0011703', 'HP:0000763', 'HP:0000582', 'HP:0010544', 'HP:0001762', 'HP:0009830', 'HP:0001249', 'HP:0002751', 'HP:0000347', 'HP:0100864', 'HP:0002943', 'HP:0002099', 'HP:0003700', 'HP:0003417', 'HP:0008905', 'HP:0000007', 'HP:0002120', 'HP:0010655', 'HP:0000407', 'HP:0001761', 'HP:0001525'}
OMIM_ICD:48	frozenset({'E7201'})	{'Cystinuria'}	{'OMIM:220100'}	{'HP:0003297', 'HP:0003131', 'HP:0003532', 'HP:0000787', 'HP:0000083', 'HP:0000006', 'HP:0000707', 'HP:0000007', 'HP:0003268', 'HP:0000010', 'HP:0003828'}
OMIM_ICD:49	frozenset({'E7202'})	"{""Hartnup's disease""}"	{'OMIM:234500'}	{'HP:0004322', 'HP:0000206', 'HP:0002131', 'HP:0000992', 'HP:0001263', 'HP:0001347', 'HP:0001250', 'HP:0000712', 'HP:0000007', 'HP:0001276', 'HP:0000709', 'HP:0008353'}
OMIM_ICD:50	frozenset({'E7203'})	"{""Lowe's syndrome""}"	{'OMIM:309000'}	{'HP:0001225', 'HP:0002808', 'HP:0002119', 'HP:0006297', 'HP:0000028', 'HP:0002019', 'HP:0001284', 'HP:0001319', 'HP:0002650', 'HP:0009473', 'HP:0002049', 'HP:0001994', 'HP:0001382', 'HP:0000505', 'HP:0001508', 'HP:0001482', 'HP:0000926', 'HP:0002857', 'HP:0000083', 'HP:0000501', 'HP:0001250', 'HP:0001419', 'HP:0002756', 'HP:0003355', 'HP:0000093', 'HP:0000519', 'HP:0003646', 'HP:0007109', 'HP:0004322', 'HP:0007948', 'HP:0002827', 'HP:0000733', 'HP:0002748', 'HP:0001249', 'HP:0000718', 'HP:0003109', 'HP:0100490', 'HP:0000568', 'HP:0002749', 'HP:0004639', 'HP:0007663', 'HP:0025131', 'HP:0005984', 'HP:0003148', 'HP:0003124'}
OMIM_ICD:51	frozenset({'E7204'})	{'Cystinosis'}	{'OMIM:219800', 'OMIM:219900', 'OMIM:219750'}	{'HP:0002059', 'HP:0003076', 'HP:0001010', 'HP:0003202', 'HP:0002514', 'HP:0000531', 'HP:0003198', 'HP:0003234', 'HP:0004912', 'HP:0002015', 'HP:0002750', 'HP:0000832', 'HP:0001994', 'HP:0002909', 'HP:0005599', 'HP:0002007', 'HP:0000495', 'HP:0000103', 'HP:0003774', 'HP:0000787', 'HP:0002857', 'HP:0001744', 'HP:0002240', 'HP:0000083', 'HP:0001959', 'HP:0002902', 'HP:0004911', 'HP:0007814', 'HP:0000488', 'HP:0000093', 'HP:0004322', 'HP:0001738', 'HP:0003358', 'HP:0002748', 'HP:0001944', 'HP:0003016', 'HP:0000966', 'HP:0000823', 'HP:0000618', 'HP:0003251', 'HP:0000819', 'HP:0000897', 'HP:0003621', 'HP:0002344', 'HP:0002907', 'HP:0000613', 'HP:0200136', 'HP:0030190', 'HP:0001507', 'HP:0000007', 'HP:0001531', 'HP:0000580', 'HP:0000026'}
OMIM_ICD:52	frozenset({'E7211'})	{'Homocystinuria'}	{'OMIM:236200'}	{'HP:0032352', 'HP:0001010', 'HP:0001263', 'HP:0001376', 'HP:0001132', 'HP:0000708', 'HP:0002299', 'HP:0003235', 'HP:0012075', 'HP:0002650', 'HP:0000768', 'HP:0001658', 'HP:0000505', 'HP:0001508', 'HP:0000545', 'HP:0000939', 'HP:0000023', 'HP:0000501', 'HP:0001250', 'HP:0000716', 'HP:0000218', 'HP:0001634', 'HP:0001519', 'HP:0000098', 'HP:0001249', 'HP:0001733', 'HP:0002160', 'HP:0002751', 'HP:0000767', 'HP:0001397', 'HP:0002156', 'HP:0040160', 'HP:0001297', 'HP:0000965', 'HP:0000678', 'HP:0004586', 'HP:0000007', 'HP:0001907', 'HP:0001166'}
OMIM_ICD:53	frozenset({'E7212'})	{'Methylenetetrahydrofolate reductase deficiency'}	{'OMIM:236250'}	{'HP:0001324', 'HP:0001263', 'HP:0001288', 'HP:0002156', 'HP:0001297', 'HP:0000708', 'HP:0002311', 'HP:0001250', 'HP:0003401', 'HP:0000007', 'HP:0000252', 'HP:0002160'}
OMIM_ICD:54	frozenset({'E7221'})	{'Argininemia'}	{'OMIM:207800'}	{'HP:0002478', 'HP:0001263', 'HP:0000737', 'HP:0001987', 'HP:0008897', 'HP:0001250', 'HP:0002013', 'HP:0000752', 'HP:0001249', 'HP:0000007', 'HP:0003218', 'HP:0002039', 'HP:0008339'}
OMIM_ICD:55	frozenset({'E7222'})	{'Arginosuccinic aciduria'}	{'OMIM:207900'}	{'HP:0005961', 'HP:0008872', 'HP:0001951', 'HP:0001263', 'HP:0000737', 'HP:0009886', 'HP:0001950', 'HP:0001987', 'HP:0002299', 'HP:0001254', 'HP:0001249', 'HP:0002181', 'HP:0002038', 'HP:0011359', 'HP:0001395', 'HP:0001508', 'HP:0001251', 'HP:0003355', 'HP:0001259', 'HP:0002240', 'HP:0001250', 'HP:0002013', 'HP:0031956', 'HP:0003218', 'HP:0000007', 'HP:0003217', 'HP:0003623'}
OMIM_ICD:56	frozenset({'E7223'})	{'Citrullinemia'}	{'OMIM:215700', 'OMIM:603471', 'OMIM:605814'}	{'HP:0005961', 'HP:0001951', 'HP:0001263', 'HP:0000737', 'HP:0001394', 'HP:0001987', 'HP:0002910', 'HP:0001406', 'HP:0003235', 'HP:0001254', 'HP:0001289', 'HP:0001402', 'HP:0002181', 'HP:0003233', 'HP:0002038', 'HP:0001508', 'HP:0002240', 'HP:0001250', 'HP:0002013', 'HP:0003218', 'HP:0003623', 'HP:0002904', 'HP:0001950', 'HP:0001249', 'HP:0001733', 'HP:0001510', 'HP:0001397', 'HP:0002155', 'HP:0001251', 'HP:0001297', 'HP:0001259', 'HP:0000007', 'HP:0003217', 'HP:0011966', 'HP:0003124'}
OMIM_ICD:57	frozenset({'E724'})	{'Disorders of ornithine metabolism'}	{'OMIM:238970', 'OMIM:311250'}	{'HP:0001951', 'HP:0001263', 'HP:0000737', 'HP:0001987', 'HP:0001254', 'HP:0002370', 'HP:0001289', 'HP:0002169', 'HP:0002181', 'HP:0002038', 'HP:0001290', 'HP:0001508', 'HP:0002123', 'HP:0002240', 'HP:0000533', 'HP:0000762', 'HP:0025356', 'HP:0001250', 'HP:0001419', 'HP:0002013', 'HP:0002572', 'HP:0002062', 'HP:0007256', 'HP:0200119', 'HP:0001950', 'HP:0003572', 'HP:0012026', 'HP:0001249', 'HP:0002131', 'HP:0001410', 'HP:0006846', 'HP:0001251', 'HP:0001297', 'HP:0002313', 'HP:0001259', 'HP:0001328', 'HP:0007894', 'HP:0000007', 'HP:0002120', 'HP:0003217', 'HP:0002495'}
OMIM_ICD:58	frozenset({'E7252'})	{'Trimethylaminuria'}	{'OMIM:602079'}	{'HP:0001903', 'HP:0001649', 'HP:0006532', 'HP:0001744', 'HP:0000716', 'HP:0000007', 'HP:0001875', 'HP:0003614', 'HP:0000822'}
OMIM_ICD:59	frozenset({'E7253'})	{'Hyperoxaluria'}	{'OMIM:260000', 'OMIM:613616', 'OMIM:259900'}	{'HP:0002653', 'HP:0001138', 'HP:0011001', 'HP:0004417', 'HP:0001063', 'HP:0030880', 'HP:0003159', 'HP:0000083', 'HP:0002756', 'HP:0003355', 'HP:0000488', 'HP:0003828', 'HP:0000790', 'HP:0000121', 'HP:0001678', 'HP:0000648', 'HP:0009830', 'HP:0025324', 'HP:0011506', 'HP:0001942', 'HP:0030507', 'HP:0004950', 'HP:0008672', 'HP:0025520', 'HP:0000965', 'HP:0100758', 'HP:0000007'}
OMIM_ICD:60	frozenset({'E7401'})	{'von Gierke disease'}	{'OMIM:232200'}	{'HP:0001538', 'HP:0000097', 'HP:0004322', 'HP:0002254', 'HP:0002910', 'HP:0000105', 'HP:0000823', 'HP:0003077', 'HP:0001733', 'HP:0001402', 'HP:0001892', 'HP:0003128', 'HP:0002149', 'HP:0000991', 'HP:0000295', 'HP:0012213', 'HP:0000787', 'HP:0000939', 'HP:0001114', 'HP:0001943', 'HP:0002240', 'HP:0003199', 'HP:0000007', 'HP:0000822', 'HP:0001997', 'HP:0000093', 'HP:0000660'}
OMIM_ICD:61	frozenset({'E7402'})	{'Pompe disease'}	{'OMIM:232300'}	{'HP:0002747', 'HP:0002093', 'HP:0001284', 'HP:0003701', 'HP:0001640', 'HP:0001716', 'HP:0003725', 'HP:0002094', 'HP:0001290', 'HP:0011400', 'HP:0004944', 'HP:0002205', 'HP:0001252', 'HP:0001744', 'HP:0002240', 'HP:0003236', 'HP:0005165', 'HP:0006597', 'HP:0000007', 'HP:0001945', 'HP:0000158', 'HP:0000365'}
OMIM_ICD:62	frozenset({'E7403'})	{'Cori disease'}	{'OMIM:232400'}	{'HP:0004322', 'HP:0001324', 'HP:0000490', 'HP:0003693', 'HP:0002910', 'HP:0003198', 'HP:0000219', 'HP:0003077', 'HP:0001638', 'HP:0000272', 'HP:0000233', 'HP:0000455', 'HP:0001395', 'HP:0001714', 'HP:0003236', 'HP:0002240', 'HP:0005280', 'HP:0000007', 'HP:0011800', 'HP:0001943'}
OMIM_ICD:63	frozenset({'E7404'})	{'McArdle disease'}	{'OMIM:232600'}	{'HP:0003621', 'HP:0001324', 'HP:0040319', 'HP:0009045', 'HP:0003236', 'HP:0000007', 'HP:0003738', 'HP:0003710', 'HP:0002913'}
OMIM_ICD:64	frozenset({'E7412'})	{'Hereditary fructose intolerance'}	{'OMIM:229600'}	{'HP:0004395', 'HP:0003076', 'HP:0001394', 'HP:0002910', 'HP:0001254', 'HP:0003149', 'HP:0001249', 'HP:0003109', 'HP:0005973', 'HP:0001942', 'HP:0002027', 'HP:0002049', 'HP:0002149', 'HP:0002018', 'HP:0003128', 'HP:0001397', 'HP:0000114', 'HP:0001508', 'HP:0001259', 'HP:0002239', 'HP:0002240', 'HP:0000952', 'HP:0001250', 'HP:0002013', 'HP:0008273', 'HP:0000007', 'HP:0002904', 'HP:0001943', 'HP:0002148', 'HP:0003646'}
OMIM_ICD:65	frozenset({'E7421'})	{'Galactosemia'}	{'OMIM:230400'}	{'HP:0410062', 'HP:0410064', 'HP:0001394', 'HP:0410063', 'HP:0004918', 'HP:0001878', 'HP:0001249', 'HP:0001942', 'HP:0008209', 'HP:0001410', 'HP:0001508', 'HP:0002240', 'HP:0012592', 'HP:0002014', 'HP:0410061', 'HP:0012024', 'HP:0000815', 'HP:0002013', 'HP:0012023', 'HP:0000007', 'HP:0003355', 'HP:0000518'}
OMIM_ICD:66	frozenset({'E7431'})	{'Sucrase-isomaltase deficiency'}	{'OMIM:222900'}	{'HP:0000007', 'HP:0002014', 'HP:0000787', 'HP:0002024', 'HP:0001939'}
OMIM_ICD:67	frozenset({'E744'})	{'Disorders of pyruvate metabolism and gluconeogenesis'}	{'OMIM:245349', 'OMIM:614111', 'OMIM:608782', 'OMIM:266150', 'OMIM:245348', 'OMIM:261680', 'OMIM:312170'}	{'HP:0002194', 'HP:0001319', 'HP:0002307', 'HP:0002015', 'HP:0002169', 'HP:0001399', 'HP:0000316', 'HP:0002049', 'HP:0001256', 'HP:0000343', 'HP:0001258', 'HP:0002007', 'HP:0001290', 'HP:0002928', 'HP:0001518', 'HP:0000961', 'HP:0001252', 'HP:0002353', 'HP:0007015', 'HP:0002415', 'HP:0000463', 'HP:0000243', 'HP:0003162', 'HP:0003577', 'HP:0003572', 'HP:0002480', 'HP:0006970', 'HP:0000454', 'HP:0002919', 'HP:0000508', 'HP:0002066', 'HP:0000767', 'HP:0001251', 'HP:0001347', 'HP:0002104', 'HP:0040284', 'HP:0001943', 'HP:0000496', 'HP:0002059', 'HP:0001263', 'HP:0003542', 'HP:0002119', 'HP:0000799', 'HP:0002151', 'HP:0000431', 'HP:0001254', 'HP:0001423', 'HP:0001338', 'HP:0003348', 'HP:0003128', 'HP:0002510', 'HP:0002416', 'HP:0004925', 'HP:0002240', 'HP:0002268', 'HP:0025356', 'HP:0001999', 'HP:0001250', 'HP:0006961', 'HP:0000218', 'HP:0000252', 'HP:0007010', 'HP:0001332', 'HP:0003828', 'HP:0000657', 'HP:0005959', 'HP:0002465', 'HP:0002872', 'HP:0000648', 'HP:0001249', 'HP:0001942', 'HP:0002131', 'HP:0001397', 'HP:0007190', 'HP:0000286', 'HP:0001266', 'HP:0002490', 'HP:0003593', 'HP:0002317', 'HP:0001274', 'HP:0004900', 'HP:0006799', 'HP:0000007', 'HP:0000639'}
OMIM_ICD:68	frozenset({'E7603', 'E7601', 'E7602'})	"{""Scheie's syndrome"", ""Hurler's syndrome"", 'Hurler-Scheie syndrome'}"	{'OMIM:607016', 'OMIM:607015', 'OMIM:607014'}	{'HP:0002808', 'HP:0000280', 'HP:0001387', 'HP:0002650', 'HP:0001537', 'HP:0003320', 'HP:0000501', 'HP:0005280', 'HP:0000691', 'HP:0002341', 'HP:0001650', 'HP:0002777', 'HP:0001072', 'HP:0000365', 'HP:0004322', 'HP:0002092', 'HP:0008802', 'HP:0030812', 'HP:0000445', 'HP:0000293', 'HP:0007957', 'HP:0000283', 'HP:0011400', 'HP:0004490', 'HP:0000238', 'HP:0000943', 'HP:0004586', 'HP:0012471', 'HP:0001761', 'HP:0007759', 'HP:0001263', 'HP:0000470', 'HP:0002870', 'HP:0001371', 'HP:0005019', 'HP:0000303', 'HP:0002673', 'HP:0003541', 'HP:0002857', 'HP:0001744', 'HP:0002240', 'HP:0000023', 'HP:0002180', 'HP:0001706', 'HP:0410018', 'HP:0000212', 'HP:0002869', 'HP:0001653', 'HP:0001433', 'HP:0001659', 'HP:0000256', 'HP:0001249', 'HP:0001638', 'HP:0012185', 'HP:0002680', 'HP:0000347', 'HP:0003311', 'HP:0000455', 'HP:0002344', 'HP:0001007', 'HP:0002205', 'HP:0000894', 'HP:0000007', 'HP:0000546'}
OMIM_ICD:69	frozenset({'E761'})	{'Mucopolysaccharidosis, type II'}	{'OMIM:309900'}	{'HP:0000684', 'HP:0002808', 'HP:0000280', 'HP:0003510', 'HP:0000470', 'HP:0002870', 'HP:0001371', 'HP:0004389', 'HP:0001537', 'HP:0003502', 'HP:0002786', 'HP:0003541', 'HP:0001744', 'HP:0002240', 'HP:0000023', 'HP:0000998', 'HP:0002180', 'HP:0001250', 'HP:0001419', 'HP:0002341', 'HP:0000687', 'HP:0000158', 'HP:0001171', 'HP:0000365', 'HP:0000179', 'HP:0000256', 'HP:0008301', 'HP:0001654', 'HP:0000508', 'HP:0030799', 'HP:0000403', 'HP:0001635', 'HP:0002187', 'HP:0001609', 'HP:0000238', 'HP:0002159', 'HP:0001085', 'HP:0002099', 'HP:0000943', 'HP:0002014', 'HP:0000268', 'HP:0001761', 'HP:0007703'}
OMIM_ICD:70	frozenset({'E76210', 'E76219', 'E76211'})	{'Morquio B mucopolysaccharidoses', 'Morquio A mucopolysaccharidoses', 'Morquio mucopolysaccharidoses, unspecified'}	{'OMIM:253010', 'OMIM:252300', 'OMIM:253000'}	{'HP:0002808', 'HP:0000280', 'HP:0003307', 'HP:0002650', 'HP:0000939', 'HP:0000904', 'HP:0001650', 'HP:0000687', 'HP:0000365', 'HP:0002091', 'HP:0000884', 'HP:0003016', 'HP:0002318', 'HP:0008166', 'HP:0005292', 'HP:0007957', 'HP:0003621', 'HP:0012070', 'HP:0003308', 'HP:0000670', 'HP:0000154', 'HP:0003277', 'HP:0007759', 'HP:0003510', 'HP:0003053', 'HP:0002788', 'HP:0000303', 'HP:0003610', 'HP:0002655', 'HP:0002673', 'HP:0000926', 'HP:0002240', 'HP:0002857', 'HP:0000023', 'HP:0030865', 'HP:0003300', 'HP:0012069', 'HP:0000683', 'HP:0001223', 'HP:0001654', 'HP:0001249', 'HP:0003311', 'HP:0003521', 'HP:0003049', 'HP:0001388', 'HP:0000007', 'HP:0005723'}
OMIM_ICD:71	frozenset({'E7622'})	{'Sanfilippo mucopolysaccharidoses'}	{'OMIM:252930', 'OMIM:252920', 'OMIM:252940', 'OMIM:252900'}	{'HP:0100790', 'HP:0000280', 'HP:0000664', 'HP:0000900', 'HP:0002333', 'HP:0002360', 'HP:0000470', 'HP:0001387', 'HP:0001371', 'HP:0002371', 'HP:0002307', 'HP:0002788', 'HP:0002015', 'HP:0001640', 'HP:0002007', 'HP:0003676', 'HP:0001744', 'HP:0002240', 'HP:0000574', 'HP:0005280', 'HP:0001250', 'HP:0000752', 'HP:0002208', 'HP:0000510', 'HP:0003653', 'HP:0000365', 'HP:0003828', 'HP:0000463', 'HP:0001260', 'HP:0000179', 'HP:0001670', 'HP:0001249', 'HP:0000718', 'HP:0000369', 'HP:0002751', 'HP:0003621', 'HP:0002344', 'HP:0000232', 'HP:0003309', 'HP:0001007', 'HP:0002159', 'HP:0001507', 'HP:0000943', 'HP:0002014', 'HP:0001344', 'HP:0000250', 'HP:0000007', 'HP:0001270', 'HP:0000268', 'HP:0000154', 'HP:0011220'}
